"Pair","NetProfit","ProfitFactor","Drawdown"
"AUDUSD#","1182.52","6.26","2"
"EURGBP#","1519.73","4.37","1.99"
"CHFJPY#","130.16","1.66","1.98"
"EURCAD#","-306.59","0.75","5.93"
"NZDCAD#","-659.1","0.33","6.59"
"EURAUD#","-1023.43","0.24","11.69"
